Time,Open,High,Low,Last,Change,Volume
02/10/2020,19.31,20.68,19,20.55,1.62,15272300
02/07/2020,18.46,19.25,18.28,18.93,0.41,7035900
02/06/2020,18.46,18.97,18.05,18.52,-0.17,4819600
02/05/2020,20.01,20.09,18.04,18.69,-1,9303200
02/04/2020,19.31,20,18.7652,19.69,1.08,14583200
02/03/2020,17.15,18.94,17.15,18.61,1.46,8447600
01/31/2020,17.03,17.83,16.85,17.15,0.05,6247900
01/30/2020,17.11,17.77,16.58,17.1,-0.48,7314200
01/29/2020,18.16,18.16,17.11,17.58,-0.39,6404600
01/28/2020,17.96,18.5,17.6,17.97,0.53,10946400
01/27/2020,15.9,18,15.61,17.44,0.23,12838600
01/24/2020,18.6,19.25,16.23,17.21,-1.91,19816200
01/23/2020,18.93,19.73,17.61,19.12,-0.6,24341600
01/22/2020,18.43,19.84,18.1,19.72,2.42,35159300
01/21/2020,16.31,17.6,16.2099,17.3,1.66,15302700
01/17/2020,15.04,15.8,14.76,15.64,0.7,6579000
01/16/2020,15.76,16.01,14.56,14.94,0.1,12321300
01/15/2020,14.12,15.97,13.75,14.84,0.87,14312800
01/14/2020,14.27,14.38,13.7,13.97,0.27,7598100
01/13/2020,13.03,14.11,13,13.7,0.87,9687100
01/10/2020,12.32,13,12.32,12.83,0.79,6084500
01/09/2020,11.52,12.17,11.44,12.04,0.62,6044500
01/08/2020,11.12,11.5,11.11,11.42,0.06,1844400
01/07/2020,11.4,11.45,11.0609,11.36,-0.02,1744000
01/06/2020,11.81,11.8482,11.05,11.38,-0.43,3102200
01/03/2020,11.54,11.9,11.5,11.81,0.02,2311900
01/02/2020,11.7,11.89,11.43,11.79,0.24,3926900
12/31/2019,11.32,11.64,11.3,11.55,0.06,2031000
12/30/2019,11.6,11.72,11.08,11.49,-0.07,4162700
12/27/2019,10.87,11.7,10.62,11.56,0.66,6855500
12/26/2019,11.5,11.87,10.59,10.9,-0.51,5793300
12/24/2019,11.05,11.49,11.01,11.41,0.46,2513200
12/23/2019,10.99,11,10.57,10.95,0.18,3763000
12/20/2019,10.5,10.89,10.2,10.77,0.4,9954900
12/19/2019,9.51,10.5,9.51,10.37,0.81,6319300
12/18/2019,9.3,9.67,9.3,9.56,0.22,3821000
12/17/2019,9.26,9.38,9.2013,9.34,0.05,3066400
12/16/2019,9,9.38,8.98,9.29,0.26,3599700
12/13/2019,9.19,9.275,8.75,9.03,-0.14,2143100
12/12/2019,9.55,9.5797,8.86,9.17,-0.17,4154400
12/11/2019,9.21,9.42,9.05,9.34,0.37,4979600
12/10/2019,8.8,9.7,8.8,8.97,0.55,11531100
12/09/2019,7.87,8.75,7.85,8.42,1.16,9741100
12/06/2019,7.34,7.34,7.22,7.26,0.04,854400
12/05/2019,7.3,7.48,7.205,7.22,0,1140800
12/04/2019,7.52,7.54,7.2,7.22,-0.24,1228200
12/03/2019,7.41,7.5,7.29,7.46,0.02,1183700
12/02/2019,7.33,7.5199,7.1359,7.44,0.19,1337300
11/29/2019,7.48,7.48,7.18,7.25,-0.07,776700
11/27/2019,7.25,7.47,7.07,7.32,0.06,1536400
11/26/2019,7.19,7.51,7.16,7.26,0.04,1863200
11/25/2019,7.68,7.72,6.9,7.22,-0.38,5858900
11/22/2019,8.53,8.6181,7.26,7.6,-0.83,6645000
11/21/2019,9.3,9.3399,8.3024,8.43,-0.67,3418700
11/20/2019,9.4,9.48,8.98,9.1,-0.29,1527400
11/19/2019,9.5,9.61,9.32,9.39,-0.14,533100
11/18/2019,9.68,9.69,9.51,9.53,-0.15,509200
11/15/2019,9.7,9.7,9.47,9.68,0.02,897700
11/14/2019,9.7,9.77,9.51,9.66,-0.06,810300
11/13/2019,10.05,10.14,9.63,9.72,-0.38,1494100
11/12/2019,10.25,10.25,10.01,10.1,-0.1,1052700
11/11/2019,10.32,10.35,10.03,10.2,0.21,1528200
11/08/2019,9.88,10,9.82,9.99,0.19,1488900
11/07/2019,9.67,9.875,9.54,9.8,0.15,1146800
11/06/2019,9.72,9.8,9.46,9.65,-0.03,1371000
11/05/2019,9.54,9.84,8.56,9.68,0.33,5239600
11/04/2019,9.76,9.78,9.25,9.35,-0.29,2256200
11/01/2019,9.41,9.71,9.09,9.64,0.23,2580600
10/31/2019,10.46,10.46,8.955,9.41,-1.2,6315900
10/30/2019,11.09,11.16,10.5,10.61,-0.38,2802900
10/29/2019,12.04,12.51,10.5,10.99,-0.76,6332300
