Time,Open,High,Low,Last,Change,Volume
08/11/2020,111.97,112.4825,109.1067,109.375,-3.3525,187902000
08/10/2020,112.6,113.775,110,112.7275,1.615,212403200
08/07/2020,113.205,113.675,110.2925,111.1125,-2.79,198045600
08/06/2020,110.405,114.4125,109.7975,113.9025,3.84,202428800
08/05/2020,109.3775,110.3925,108.8975,110.0625,0.3975,121991600
08/04/2020,109.1325,110.79,108.3875,109.665,0.7275,172792000
08/03/2020,108.2,111.6364,107.8925,108.9375,2.6775,308151200
07/31/2020,102.885,106.415,100.825,106.26,10.07,374295200
07/30/2020,94.1875,96.2975,93.7675,96.19,1.15,158130000
07/29/2020,93.75,95.23,93.7125,95.04,1.7875,90329200
07/28/2020,94.3675,94.54965,93.2475,93.2525,-1.5575,103625200
07/27/2020,93.71,94.905,93.48,94.81,2.195,121214000
07/24/2020,90.9875,92.97,89.145,92.615,-0.23,185438800
07/23/2020,96.9975,97.0775,92.00975,92.845,-4.4275,197004400
07/22/2020,96.6925,97.975,96.6025,97.2725,0.2725,89001600
07/21/2020,99.1725,99.25,96.7425,97,-1.3575,103645600
07/20/2020,96.4175,98.5,96.0625,98.3575,2.03,90317600
07/17/2020,96.9875,97.1475,95.84,96.3275,-0.195,92186800
07/16/2020,96.5625,97.405,95.905,96.5225,-1.2025,110577600
07/15/2020,98.99,99.2475,96.49,97.725,0.6675,153197600
07/14/2020,94.84,97.255,93.8775,97.0575,1.58,170989200
07/13/2020,97.265,99.955,95.2575,95.4775,-0.4425,191648800
07/10/2020,95.335,95.98,94.70518,95.92,0.2375,90257200
07/09/2020,96.2625,96.3175,94.6725,95.6825,0.34,125642400
07/08/2020,94.18,95.375,94.09,95.3425,2.17,117091600
07/07/2020,93.8525,94.655,93.0575,93.1725,-0.29,112424400
07/06/2020,92.5,93.945,92.4675,93.4625,2.435,118655600
07/02/2020,91.9625,92.6175,90.91,91.0275,0,114041200
07/01/2020,91.28,91.84,90.9775,91.0275,-0.1725,110737200
06/30/2020,90.02,91.495,90,91.2,0.755,140223200
06/29/2020,88.3125,90.5434,87.82,90.445,2.0375,130646000
06/26/2020,91.1025,91.33,88.255,88.4075,-2.8025,205256800
06/25/2020,90.175,91.25,89.3925,91.21,1.195,137522400
06/24/2020,91.25,92.1975,89.63,90.015,-1.6175,192623200
06/23/2020,91,93.095,90.56753,91.6325,1.915,212155200
06/22/2020,87.835,89.865,87.7875,89.7175,2.2875,135445200
06/19/2020,88.66,89.14,86.2875,87.43,-0.5025,264475600
06/18/2020,87.8525,88.3625,87.305,87.9325,0.035,96820000
